DrugBank ID,Name,CAS Number,Drug Type,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,PharmGKB ID,HET ID,UniProt ID,UniProt Title,GenBank ID,DPD ID,RxList Link,Pdrhealth Link,Wikipedia ID,Drugs.com Link,NDC ID,ChemSpider ID,BindingDB ID,TTD ID
DB01455,19-Nor-5-androstenediol,,SmallMoleculeDrug,,,9900246,46507256,,,,,,,"",,,19-Nor-5-androstenediol,,,8075901,50423550,
DB01456,5-androstenedione,571-36-8,SmallMoleculeDrug,C20252,,160531,46507159,83865,,,,,,"",,,5-Androstenedione,,,141063,,
DB01458,"2,5-Dimethoxy-4-(n)-propylthiophenethylamine",207740-26-9,SmallMoleculeDrug,,,24728635,46506237,,,,,,,"",,,,,,21106233,,
DB01459,Bezitramide,15301-48-1,SmallMoleculeDrug,,,61791,46505037,135794,,,,,,"",,,Bezitramide,,,55675,,
DB01460,Diethyltryptamine,61-51-8,SmallMoleculeDrug,,,6090,46504638,,,,,,,"",,,Diethyltryptamine,,,5865,50094676,
DB01461,Dimenoxadol,509-78-4,SmallMoleculeDrug,,,17036,46506064,135396,,,,,,"",,,Dimenoxadol,,,16137,,
DB01462,Etonitazene,911-65-9,SmallMoleculeDrug,,,13493,46508885,,,,,,,"",,,Etonitazene,,,12908,50013847,
DB01464,Furethidine,2385-81-1,SmallMoleculeDrug,,,61306,46506907,,,,,,,"",,,Furethidine,,,55245,,
DB01465,"2,5-Dimethoxyamphetamine",2801-68-5,SmallMoleculeDrug,,,62787,46507168,,,,,,,"",,,"2,5-Dimethoxyamphetamine",,,56526,50005251,
DB01467,"2,5-Dimethoxy-4-ethylamphetamine",22004-32-6,SmallMoleculeDrug,,,27402,46504746,,,,,,,"",,,"2,5-Dimethoxy-4-ethylamphetamine",,,25499,81965,
DB01468,Ethylmethylthiambutene,441-61-2,SmallMoleculeDrug,,,46424,46505584,135149,,,,,,"",,,Ethylmethylthiambutene,,,42256,,
DB01469,Acetorphine,25333-77-1,SmallMoleculeDrug,,,20055090,46506577,,,,,,,"",,,Acetorphine,,,16736130,,
DB01471,Bolasterone,1605-89-6,SmallMoleculeDrug,C14475,D03144,102146,46504950,34583,,,,,,"",,,Bolasterone,,,92280,50423546,
DB01472,4-Methoxyamphetamine,64-13-1,SmallMoleculeDrug,,,31721,46507471,,,,,,,"",,,4-Methoxyamphetamine,,,29417,50024209,
DB01473,Betaprodine,468-59-7,SmallMoleculeDrug,,,5284516,46507695,,,,,,,"",,,Betaprodine,,,4447576,,
DB01474,"17alpha-methyl-3beta,17beta-dihydroxyandrost-4-ene",571-03-9,SmallMoleculeDrug,,,69259387,46505852,,,,,,,"",,,,,,24734384,,
DB01475,Dioxaphetyl butyrate,467-86-7,SmallMoleculeDrug,,,48194,46507448,135489,,,,,,"",,,Dioxaphetyl_butyrate,,,43838,,
DB01476,Haloxazolam,59128-97-1,SmallMoleculeDrug,,D01758,3563,46508327,31666,,,,,,"",,,Haloxazolam,,,3442,,
DB01477,Codeine methylbromide,125-27-9,SmallMoleculeDrug,,,5362447,46506596,,,,,,,"",,,Codeine_methylbromide,,,4515039,,
DB01478,Desmethylprodine,13147-09-6,SmallMoleculeDrug,,,61583,46504635,,,,,,,"",,,Desmethylprodine,,,55493,,
DB01479,BA-2664,641-82-7,SmallMoleculeDrug,C15376,,242493,46506370,79878,,,,,,"",,,,,,211980,,
DB01480,Cyprenorphine,4406-22-8,SmallMoleculeDrug,,,20054882,46506801,,,,,,,"",,,Cyprenorphine,,,16735758,,
DB01481,1-Testosterone,65-06-5,SmallMoleculeDrug,C15377,,236666,46507716,59714,,,,,,"",,,1-Testosterone,,,206590,,
DB01484,"4-Bromo-2,5-dimethoxyamphetamine",32156-26-6,SmallMoleculeDrug,,,62065,46507989,,,,,,,"",,,,,,55902,50005257,
DB01485,4-Hydroxytestosterone,2141-17-5,SmallMoleculeDrug,,,160615,46508337,,,,,,,"",,,4-Hydroxytestosterone,,,141138,,
DB01486,Cathine,492-39-7,SmallMoleculeDrug,C08300,,441457,46509110,4109,,,,,,"",,,Cathine,,,390189,50405615,
DB01487,Embutramide,15687-14-6,SmallMoleculeDrug,,D03984,27453,46504563,,,,,,,11998,,,Embutramide,,,25547,,
DB01488,Dimethyltryptamine,61-50-7,SmallMoleculeDrug,C08302,,6089,46507463,28969,,,,,,"",,,Dimethyltryptamine,,,5864,50026868,
DB01490,Aminorex,2207-50-3,SmallMoleculeDrug,,D02909,16630,46507089,134792,,,,,,"",,,Aminorex,,,15767,85705,
DB01491,Dipipanone,467-83-4,SmallMoleculeDrug,,,13331,46508855,135479,,,,,,"",,,Dipipanone,,,12766,,
DB01496,Barbituric acid derivative,,SmallMoleculeDrug,,,3003157,46507405,,,,,,,"",,,,,,2273815,,
DB01498,Alphamethadol,17199-54-1,SmallMoleculeDrug,,,62709,46507318,,,,,,,"",,,Alphamethadol,,,56456,,
DB01499,Alphameprodine,468-51-9,SmallMoleculeDrug,,,61119,46507922,,,,,,,"",,,Meprodine,,,55067,,
DB01500,Oxabolone,4721-69-1,SmallMoleculeDrug,,,20055236,46508722,135210,,,,,,"",,,Oxabolone,,,16736429,,
DB01502,Diampromide,552-25-0,SmallMoleculeDrug,,,62370,46505265,135386,,,,,,"",,,Diampromide,,,56158,,
DB01503,1-Androstenediol,,SmallMoleculeDrug,,,11300765,46508681,,,,,,,"",,,1-Androstenediol,,,9475742,,
DB01505,Etoxeridine,469-82-9,SmallMoleculeDrug,,D02151,61122,46505813,,,,,,,"",,,Etoxeridine,,,55070,,
DB01506,1-Phenylcyclohexylamine,2201-24-3,SmallMoleculeDrug,,,31862,46506337,,,,,,,"",,,,,,29546,50210761,
DB01509,"3,4-Methylenedioxyamphetamine",4764-17-4,SmallMoleculeDrug,,,1614,46506100,100592,,,,,,"",,,"3,4-Methylenedioxyamphetamine",,,1555,50005247,
DB01510,Dehydrochloromethyltestosterone,,SmallMoleculeDrug,,,,46507577,,,,,,,"",,,Dehydrochloromethyltestosterone,,,,,
DB01512,Hydromorphinol,2183-56-4,SmallMoleculeDrug,,,5463858,46508311,,,,,,,"",,,Hydromorphinol,,,4576407,,
DB01513,"17Alpha-methyl-3beta,17beta-dihydroxy-5alpha-androstane",641-83-8,SmallMoleculeDrug,,,101819,46507785,,,,,,,"",,,,,,91994,,
DB01515,Benzoylecgonine,519-09-5,SmallMoleculeDrug,C10847,,448223,46508112,41001,,BCG,,,,"",,,Benzoylecgonine,,,395095,,
DB01516,"3,4,5-Trimethoxyamphetamine",1082-88-8,SmallMoleculeDrug,,,31016,46505648,,,,,,,"",,,"3,4,5-Trimethoxyamphetamine",,,28775,50005256,
DB01518,Benzethidine,3691-78-9,SmallMoleculeDrug,,,62516,46507451,,,,,,,"",,,Benzethidine,,,56290,,
DB01520,Tenocyclidine,21500-98-1,SmallMoleculeDrug,,,62751,46505124,64610,,,,,,"",,,Tenocyclidine,,,56495,50004107,
DB01521,Clostebol,1093-58-9,SmallMoleculeDrug,,D07731,68947,46505505,135372,,,,,,"",,,Clostebol,,,62171,,
DB01522,Betacetylmethadol,17199-59-6,SmallMoleculeDrug,,,62710,46508290,,,,,,,"",,,Betacetylmethadol,,,56457,,
DB01523,Clonitazene,3861-76-5,SmallMoleculeDrug,,,62528,46509015,,,,,,,"",,,Clonitazene,,,56301,,
DB01524,Androstenediol,521-17-5,SmallMoleculeDrug,C04295,D00179,10634,46507476,2710,,B81,,,,"",,,5-Androstenediol,,,10188,50223237,
DB01525,Ecgonine,481-37-8,SmallMoleculeDrug,C10858,,91460,46506479,4743,,,,,,"",,,Ecgonine,,,82586,,
DB01526,4-Androstenediol,1156-92-9,SmallMoleculeDrug,C14210,,136297,46507648,34386,,,,,,"",,,4-Androstenediol,,,120071,50410526,
DB01527,Clortermine,10389-73-8,SmallMoleculeDrug,,D03566,25223,46505926,134826,,,,,,"",,,Clortermine,,,23558,,
DB01528,"4-Methyl-2,5-dimethoxyamphetamine",15588-95-1,SmallMoleculeDrug,,,85875,46504804,,,,,,,"",,,,,,77462,50005265,
DB01529,Dextromoramide,357-56-2,SmallMoleculeDrug,,D07287,92943,46507896,74274,,,,,,"",,,Dextromoramide,,,83901,,
DB01530,"5alpha-androstane-3alpha,17beta-diol",1852-53-5,SmallMoleculeDrug,,,15818,46505144,36713,,,,,,"",,,,,,15039,50093445,
DB01531,Desomorphine,427-00-9,SmallMoleculeDrug,,,5362456,46506785,135119,,,,,,"",,,Desomorphine,,,4515044,,
DB01533,Diethylthiambutene,86-14-6,SmallMoleculeDrug,,,6833,46507304,,,,,,,"",,,Diethylthiambutene,,,6572,,
DB01534,Chlorhexadol,3563-58-4,SmallMoleculeDrug,,D07325,19094,46508125,135097,,,,,,"",,,Chloralodol,,,18027,,
DB01536,Androstenedione,63-05-8,SmallMoleculeDrug,C00280,D00051,6128,46508011,16422,,ASD,,,,"",,,Androstenedione,,,5898,91713,
DB01537,"4-Bromo-2,5-dimethoxyphenethylamine",66142-81-2,SmallMoleculeDrug,,,98527,46504806,189669,,,,,,"",,,"4-Bromo-2,5-dimethoxyphenethylamine",,,88978,50005267,
DB01538,Acetyldihydrocodeine,3861-72-1,SmallMoleculeDrug,,,5463874,46507175,135453,,,,,,"",,,Acetyldihydrocodeine,,,4576412,,
DB01539,1-Piperidinocyclohexanecarbonitrile,3867-15-0,SmallMoleculeDrug,,,62529,46507601,,,,,,,"",,,,,,56302,,
DB01542,Allylprodine,25384-17-2,SmallMoleculeDrug,,,32938,46505931,,,,,,,"",,,Allylprodine,,,30495,,
DB01543,18-methyl-19-nortestosterone,,SmallMoleculeDrug,,,10039774,46507237,,,,,,,"",,,,,,8215338,,
DB01547,Drotebanol,3176-03-2,SmallMoleculeDrug,,D01496,6916258,46508971,31951,,,,,,"",,,Drotebanol,,,16736125,,
DB01549,Rolicyclidine,2201-39-0,SmallMoleculeDrug,,,62436,46507433,60805,,,,,,"",,,Rolicyclidine,,,56218,,
DB01552,Betameprodine,468-50-8,SmallMoleculeDrug,,,12218309,46505637,,,,,,,"",,,Betameprodine,,,28293685,,
DB01554,Bolandiol,19793-20-5,SmallMoleculeDrug,,,9835303,46505759,,,,,,,"",,,Bolandiol,,,8011024,,
DB01555,Alphacetylmethadol,17199-58-5,SmallMoleculeDrug,,,22308,46505975,,,,,,,"",,,Alphacetylmethadol,,,20937,,
DB01561,Androstanedione,846-46-8,SmallMoleculeDrug,C00674,,222865,46508701,15994,,5SD,,,,"",,,Androstanedione,,,193520,50025405,
DB01562,1-(2-Phenylethyl)-4-phenyl-4-acetoxypiperidine,64-52-8,SmallMoleculeDrug,,,60977,46505389,,,,,,,"",,,,,,54939,,
DB01564,Calusterone,17021-26-0,SmallMoleculeDrug,,,28204,46507441,135356,,,,,,"",,,Calusterone,,,26239,,
DB01565,Dihydromorphine,509-60-4,SmallMoleculeDrug,C11782,,5359421,46506587,4575,,,,,,"",,,Dihydromorphine,,,4514282,50452273,
DB01566,Methylenedioxyethamphetamine,82801-81-8,SmallMoleculeDrug,,,105039,46508229,132234,,,,,,"",,,Methylenedioxyethamphetamine,,,94775,,
DB01568,Codeine-N-oxide,3688-65-1,SmallMoleculeDrug,,,5359929,46504794,,,,,,,"",,,Codeine-N-oxide,,,4514400,,
DB01569,Formebolone,2454-11-7,SmallMoleculeDrug,,,17150,46508967,135456,,,,,,"",,,Formebolone,,,16234,,
DB01572,Methyl-1-testosterone,65-04-3,SmallMoleculeDrug,,,,46506576,,,,,,,"",,,Methyl-1-testosterone,,,5442174,,
DB01573,Benzylmorphine,14297-87-1,SmallMoleculeDrug,,,5362507,46504682,,,,,,,"",,,Benzylmorphine,,,4515062,,
DB01629,5-Fluorouridine,316-46-1,SmallMoleculeDrug,C16633,,9427,46504520,40154,,5UD,,,,"",,,,,,9056,50132299,
DB01630,SC-74020,"",SmallMoleculeDrug,,,5288596,46508106,,,I52,,,,"",,,,,,4450725,,
DB01631,Methyl Nonanoate (Ester),,SmallMoleculeDrug,,,15606,46507519,44499,,NON,,,,"",,,,,,14846,,
DB01632,Alpha-Phosphoribosylpyrophosphoric Acid,13270-65-0,SmallMoleculeDrug,C00119,,7339,46506467,17111,,PRP,,,,"",,,,,,7062,25315,
DB01633,Deoxy-2-Fluoro-B-D-Cellotrioside,,SmallMoleculeDrug,,,445968,46507333,,,FCT,,,,"",,,,,,393446,,
DB01634,2-Oxy-4-Hydroxy-5-(2-Hydrazinopyridine)Phenylalanine,,SmallMoleculeDrug,,,17754117,46505493,,,PAQ,,,,"",,,,,,16744143,,
DB01635,"2,2-Dimethylthiazolidine-4-Carboxylic Acid;(Dmt)Thiazolidine",,SmallMoleculeDrug,,,676443,46505762,39764,,2MT,,,,"",,,,,,589155,,
DB01636,Clorocruoro Hem,,SmallMoleculeDrug,,,131704174,46507863,,,CCH,,,,"",,,,,,,,
DB01637,"3,7,11,15-Tetramethyl-Hexadecan-1-Ol",,SmallMoleculeDrug,,,444637,46504960,,,ARC,,,,"",,,,,,392512,,
DB01639,N-Methyl-Pyridoxal-5'-Phosphate,,SmallMoleculeDrug,,,5168640,46507208,,,MPL,,,,"",,,,,,4341218,,
DB01640,"(5r)-6-(4-{[2-(3-Iodobenzyl)-3-Oxocyclohex-1-En-1-Yl]Amino}Phenyl)-5-Methyl-4,5-Dihydropyridazin-3(2h)-One",,SmallMoleculeDrug,,,5287540,46508247,,,666,,,,"",,,,,,4449896,15337,
DB01641,"(5z)-2-[(1s,2r)-1-Amino-2-Hydroxypropyl]-5-[(4-Amino-1h-Indol-3-Yl)Methylene]-3-(2-Hydroxyethyl)-3,5-Dihydro-4h-Imidazol-4-One",,SmallMoleculeDrug,,,46936180,46505368,,,5ZA,,,,"",,,,,,25057944,,
DB01642,O1-Methyl-Glucose,7000-27-3,SmallMoleculeDrug,,,445238,46507087,320055,,MGL,,,,"",,,,,,392933,,
DB01643,Thymidine-5'-Phosphate,365-07-1,SmallMoleculeDrug,C00364,,9700,46504719,17013,,DT,,,,"",,,,,,9319,50332929,
DB01644,"3,6-Dihydroxy-Xanthene-9-Propionic Acid",,SmallMoleculeDrug,,,449159,46507003,,,HXP,,,,"",,,,,,395767,,
DB01646,N-Acetylmethionine,65-82-7,SmallMoleculeDrug,C02712,,448580,46506781,21557,,AME,,,,"",,,,,,395338,,
DB01647,Daxalipram,189940-24-7,SmallMoleculeDrug,,,449190,46506137,,,5RM,,,,"",,,,,,395790,50308512,
DB01648,O1-Methyl-4-Deoxy-4-Thio-Beta-D-Glucose,,SmallMoleculeDrug,,,447600,46507670,,,GTM,,,,"",,,,,,394645,,
DB01649,7-Methyl-Gpppa,,SmallMoleculeDrug,,,446336,46507224,,,GTA,,,,"",,,,,,393721,,
DB01650,trans-2-hydroxycinnamic acid,614-60-8,SmallMoleculeDrug,C01772,,637540,46505688,18125,,2HC,,,,"",,,,,,553146,50146462,
DB01651,"Methyl 4,6-O-[(1r)-1-Carboxyethylidene]-Beta-D-Galactopyranoside",,SmallMoleculeDrug,,,445936,46508799,,,CDG,,,,"",,,,,,393417,,
DB01652,4-Hydroxybenzoyl Coenzyme A,27718-41-8,SmallMoleculeDrug,C02949,,168718,46505693,15500,,BCA,,,,"",,,,,,147584,,
DB01655,L-gulonic acid 6-phosphate,,SmallMoleculeDrug,,,446821,46508101,43824,,LG6,,,,"",,,,,,394074,,
DB01657,"2-Amino-3-[4-Hydroxy-6-Oxo-3-(2-Phenyl-Cyclopropylimino)-Cyclohexa-1,4-Dienyl]-Propionic Acid",,SmallMoleculeDrug,,,23644144,46505620,,,TYT,,,,"",,,,,,,,
DB01658,1'-Deazo-Thiamin Diphosphate,,SmallMoleculeDrug,,,5180212,46505255,,,N1T,,,,"",,,,,,4352369,,
DB01659,"3-(1,10-Phenanthrol-2-Yl)-L-Alanine",,SmallMoleculeDrug,,,17754134,46505676,,,PYA,,,,"",,,,,,16744171,,
DB01661,1-(5-phospho-D-ribosyl)-ATP,,SmallMoleculeDrug,C02739,,16019963,46507757,18263,,PRT,,,,"",,,,,,21864848,,
DB01662,Trans-O-Hydroxy-Alpha-Methyl Cinnamate,"",SmallMoleculeDrug,,,17754112,46504895,,,OAC,,,,"",,,,,,25058067,,
DB01663,"Lambda-Bis(2,2'-Bipyridine)-(5-Methyl-2-2'-Bipyridine)-C9-Adamantane Ruthenium (II)",,SmallMoleculeDrug,,,23644225,46506338,,,DRB,,,,"",,,,,,58829642,,
DB01664,(S)-Des-Me-Ampa,,SmallMoleculeDrug,,,447195,46508987,,,SHI,,,,"",,,,,,394357,,
DB01665,ZK-800270,"",SmallMoleculeDrug,,,4469371,46508114,,,270,,,,"",,,,,,3667796,,
DB01666,D-Myo-Inositol-Hexasulphate,,SmallMoleculeDrug,,,65302,46508928,,,IHS,,,,"",,,,,,18786070,,
DB01667,8-azaguanine,134-58-7,SmallMoleculeDrug,,,8646,46505914,63486,,AZG,,,,"",,,8-Azaguanine,,,8325,50200096,
DB01668,Nanaomycin D,,SmallMoleculeDrug,,,6323454,46507615,,,NOM,,,,"",,,,,,4883427,,
DB01669,Virginiamycin M1,21411-53-0,SmallMoleculeDrug,C11299,,5459319,46506471,9997,,VIR,,,,"",,,Pristinamycin_IIA,,,10222381,,
DB01670,Propyl Acetate,109-60-4,SmallMoleculeDrug,C14928,,7997,46508631,40116,,4PA,,,,"",,,Propyl_acetate,,,7706,,
DB01671,4-(Hydroxymercury)Benzoic Acid,,SmallMoleculeDrug,,,14309,46506059,49644,,HGB,,,,"",,,,,,8264069,50351172,
DB01672,"2,3-Dihydroxy-Benzoic Acid",303-38-8,SmallMoleculeDrug,C00196,,19,46504857,18026,,DBH,,,,"",,,,,,18,92456,
DB01673,Uridine-5'-Diphosphate-N-Acetylmuramoyl-L-Alanine,,SmallMoleculeDrug,C01212,,5496796,46507193,84726,,UMA,,,,"",,,,,,4593506,,
DB01674,[2-(1-Amino-2-Hydroxy-Propyl)-4-(4-Fluoro-1h-Indol-3-Ylmethyl)-5-Hydroxy-Imidazol-1-Yl]-Acetic Acid,,SmallMoleculeDrug,,,17753789,46507810,,,4F3,,,,"",,,,,,16743786,,
DB01675,Methacrylyl-Coenzyme A,6008-91-9,SmallMoleculeDrug,C03460,,165390,46507414,27754,,2MC,,,,"",,,,,,144985,,
DB01676,Trinitrotoluene,118-96-7,SmallMoleculeDrug,C16391,,8376,46507069,46053,,TNL,,,,"",,,Trinitrotoluene,,,8073,,
DB01677,Fumaric Acid,110-17-8,SmallMoleculeDrug,C00122,D02308,444972,46508303,18012,,FUM,,,,"",http://www.rxlist.com/cgi/generic/perforomist.htm,,Fumaric_acid,,,10197150,26122,
DB01678,RU84687,,SmallMoleculeDrug,,,5287544,46507550,,,687,,,,"",,,,,,4449899,14691,
DB01679,Propyl Trihydrogen Diphosphate,,SmallMoleculeDrug,,,448670,46504650,,,P23,,,,"",,,,,,395398,,
DB01681,Benzene Hexacarboxylic Acid,517-60-2,SmallMoleculeDrug,,,2334,46504917,41089,,BHC,,,,"",,,,,,2244,,
DB01682,6'-Methyl-Thiamin Diphosphate,,SmallMoleculeDrug,,,4477692,46505906,,,M6T,,,,"",,,,,,3675757,,
DB01683,Chymostatin,9076-44-2,SmallMoleculeDrug,C11308,,5287931,46507872,,,,,,,"",,,,,,4450198,50210112,
DB01684,1-Hydroxy-1-Thio-Glycerol,,SmallMoleculeDrug,,,5289354,46507555,,,SGL,,,,"",,,,,,4451343,,
DB01686,"N,N-dimethylarginine",30315-93-6,SmallMoleculeDrug,C03626,,123831,46508091,17929,,DA2,,,,"",,,Asymmetric_dimethylarginine,,,110375,92901,
DB01687,beta-Mannobiose,"",SmallMoleculeDrug,C01728,,448165,46508955,28085,,MAB,,,,"",,,,,,395053,,
DB01688,P-Cresol,106-44-5,SmallMoleculeDrug,C01468,,2879,46508410,17847,,PCR,,,,"",,,P-Cresol,,,13839082,50008543,
DB01689,Inhibitor Idd 384,,SmallMoleculeDrug,,,1944,46505474,,,I84,,,,"",,,,,,1868,50222612,
DB01690,Bis(Adenosine)-5'-Triphosphate,,SmallMoleculeDrug,C06197,,165381,46509170,27775,,BA3,,,,"",,,,,,144977,50184368,
DB01691,Indole Naphthyridinone,,SmallMoleculeDrug,,,5288607,46505531,,,IDN,,,,"",,,,,,4450735,8733,
DB01692,Dithioerythritol,6892-68-8,SmallMoleculeDrug,C00950,,439352,46509091,17456,,DTU,,,,"",,,Dithioerythritol,,,388475,,
DB01694,D-tartaric acid,147-71-7,SmallMoleculeDrug,C00552,,447315,46508249,15673,,SRT,,,,"",,,Tartaric_acid,,,394447,50427212,
DB01695,N-Hydroxy-4-Phosphono-Butanamide,146086-80-8,SmallMoleculeDrug,,,4469994,46504877,,,4PB,,,,"",,,,,,3668407,,
DB01697,beta-cellotriose,,SmallMoleculeDrug,C06219,,440950,46507144,41753,,CT3,,,,"",,,,,,389778,,
DB01698,Rutin,153-18-4,SmallMoleculeDrug,C05625,,5280805,46508549,28527,PA451291,RUT,,,,"",,,Rutin,,,4444362,,
DB01699,(4e)-4-Aminohex-4-Enoic Acid,,SmallMoleculeDrug,,,5288385,46504946,,,GEG,,,,"",,,,,,4450576,,
DB01700,AICA ribonucleotide,3031-94-5,SmallMoleculeDrug,C04677,,65110,46508570,18406,,AMZ,,,,"",,,AICA_ribonucleotide,,,58620,22579,
DB01701,"1,2-Dichloro-Propane",78-87-5,SmallMoleculeDrug,,,445768,46508690,,,CP2,,,,"",,,,,,393311,,
DB01702,"2-(3,4-Dihydroxyphenyl)Acetic Acid",102-32-9,SmallMoleculeDrug,C01161,,547,46507886,41941,,DHY,,,,"",,,,,,532,52946,
DB01703,N-(2-Ferrocenylethyl)Maleimide,,SmallMoleculeDrug,,,11986118,46506867,30735,,FEM,,,,"",,,,,,21865111,,
DB01704,"2,4-Dihydroxy-Trans Cinnamic Acid",614-86-8,SmallMoleculeDrug,,,446611,46504653,,,SN1,,,,"",,,,,,393925,,
DB01705,Bis(5-Amidino-Benzimidazolyl)Methane,,SmallMoleculeDrug,,,131704176,46505413,,,BAB,,,,"",,,,,,4911107,,
DB01706,2-Bromo-6-Chloro-Purine,,SmallMoleculeDrug,,,5287744,46509186,,,BCP,,,,"",,,,,,4450048,,
DB01707,"L-Alfa-Lysophosphatidylcholine, Lauroyl",,SmallMoleculeDrug,,,3045269,46506567,,,LAP,,,,"",,,,,,2308039,,
DB01709,2-phospho-D-glyceric acid,,SmallMoleculeDrug,C00631,,439278,46506872,17835,,2PG,,,,"",,,,,,388411,,
DB01710,Porphyrin Fe(III),,SmallMoleculeDrug,,,131704177,46508850,,,POR,,,,"",,,,,,,,
DB01711,"2,3,4,5,6-Pentafluorobenzyl Alcohol",440-60-8,SmallMoleculeDrug,,,9923,46505388,44903,,PFB,,,,"",,,,,,9535,,
DB01712,"(3r)-4-(P-Toluenesulfonyl)-1,4-Thiazane-3-Carboxylicacid-L-Phenylalanine Ethyl Ester",,SmallMoleculeDrug,,,46936196,46507878,,,SUB,,,,"",,,,,,,,
DB01713,Udp-Alpha-D-Xylopyranose,,SmallMoleculeDrug,,,19235,46508749,16082,,UDX,,,,"",,,,,,18152,,
DB01714,N-Methyl-Lysine,,SmallMoleculeDrug,C02728,,164795,46506725,17604,,MLZ,,,,"",,,,,,144469,,
DB01715,"7,8-Diamino-Nonanoic Acid",,SmallMoleculeDrug,,,445025,46508244,42085,,DNN,,,,"",,,,,,392785,,
DB01716,2-Propenyl-N-Acetyl-Neuramic Acid,,SmallMoleculeDrug,,,449535,46505271,,,CNP,,,,"",,,,,,396036,,
DB01717,Bis(Adenosine)-5'-Pentaphosphate,,SmallMoleculeDrug,C04058,,440210,46505205,28898,,AP5,,,,"",,,,,,389195,50435017,
DB01719,Thio-Maltopentaose,,SmallMoleculeDrug,,,449625,46504605,,,TM5,,,,"",,,,,,396096,,
DB01720,(2z)-2-(Benzoylamino)-3-[4-(2-Bromophenoxy)Phenyl]-2-Propenoic Acid,,SmallMoleculeDrug,,,657131,46508533,,,PH7,,,,"",,,,,,571325,50166405,
