microRNA,disease,disease_id
hsa-mir-325,acute myeloid leukemia ,601626
hsa-mir-326,acute myeloid leukemia ,601626
hsa-mir-147,acute myeloid leukemia ,601626
hsa-mir-34b,acute myeloid leukemia ,601626
hsa-mir-103,acute myeloid leukemia ,601626
hsa-mir-424,acute myeloid leukemia ,601626
hsa-mir-451,acute myeloid leukemia ,601626
hsa-mir-9*,acute myeloid leukemia ,601626
hsa-mir-29b,acute myeloid leukemia ,601626
hsa-mir-320,acute myeloid leukemia ,601626
hsa-mir-155,acute myeloid leukemia ,601626
hsa-mir-328,acute myeloid leukemia ,601626
hsa-mir-27b,acute myeloid leukemia ,601626
hsa-mir-331,acute myeloid leukemia ,601626
hsa-mir-335,acute myeloid leukemia ,601626
hsa-mir-181a,acute myeloid leukemia ,601626
hsa-mir-142,acute myeloid leukemia ,601626
hsa-mir-302b*,acute myeloid leukemia ,601626
hsa-mir-128a,acute myeloid leukemia ,601626
hsa-mir-128b,acute myeloid leukemia ,601626
hsa-mir-340,acute myeloid leukemia ,601626
hsa-mir-221,acute myeloid leukemia ,601626
hsa-mir-126,acute myeloid leukemia ,601626
hsa-mir-126*,acute myeloid leukemia ,601626
hsa-let-7a,acute myeloid leukemia ,601626
hsa-mir-199a,acute myeloid leukemia ,601626
hsa-mir-223,acute myeloid leukemia ,601626
hsa-mir-5,acute myeloid leukemia ,601626
hsa-mir-130a,acute myeloid leukemia ,601626
hsa-mir-181b,acute myeloid leukemia ,601626
hsa-let-7b,acute myeloid leukemia ,601626
hsa-mir-23a,acute myeloid leukemia ,601626
hsa-mir-222,acute myeloid leukemia ,601626
hsa-mir-22,acute myeloid leukemia ,601626
hsa-mir-199b,acute myeloid leukemia ,601626
hsa-mir-181c,acute myeloid leukemia ,601626
hsa-mir-182,acute myeloid leukemia ,601626
hsa-mir-23b,acute myeloid leukemia ,601626
hsa-mir-24,acute myeloid leukemia ,601626
hsa-mir-34c,acute myeloid leukemia ,601626
hsa-mir-367,acute myeloid leukemia ,601626
hsa-mir-15b,acute myeloid leukemia ,601626
hsa-let-7c,acute myeloid leukemia ,601626
hsa-mir-21,acute myeloid leukemia ,601626
hsa-let-7c,acute promyelocytic leukemia,612376
hsa-mir-107,acute promyelocytic leukemia,612376
hsa-mir-181a,acute promyelocytic leukemia,612376
hsa-mir-181b,acute promyelocytic leukemia,612376
hsa-mir-342,acute promyelocytic leukemia,612376
hsa-mir-92a,acute promyelocytic leukemia,612376
hsa-let-7d,acute promyelocytic leukemia ,612376
hsa-mir-16-1,acute promyelocytic leukemia ,612376
hsa-mir-134,acute promyelocytic leukemia ,612376
hsa-mir-221,acute promyelocytic leukemia ,612376
hsa-mir-128b,acute promyelocytic leukemia ,612376
hsa-mir-210,acute promyelocytic leukemia ,612376
hsa-mir-126,acute promyelocytic leukemia ,612376
hsa-mir-23a ,acute promyelocytic leukemia ,612376
hsa-mir-342,acute promyelocytic leukemia ,612376
hsa-mir-223,acute promyelocytic leukemia ,612376
hsa-mir-181b,acute promyelocytic leukemia ,612376
hsa-mir-15a,acute promyelocytic leukemia ,612376
hsa-let-7a-3,acute promyelocytic leukemia ,612376
hsa-mir-15b,acute promyelocytic leukemia ,612376
hsa-mir-147,acute promyelocytic leukemia ,612376
hsa-let-7c,acute promyelocytic leukemia ,612376
hsa-mir-195,adrenocortical carcinoma,202300
hsa-mir-1974,adrenocortical carcinoma,202300
hsa-mir-205,adrenocortical carcinoma,202300
hsa-mir-21,adrenocortical carcinoma,202300
hsa-mir-210,adrenocortical carcinoma,202300
hsa-mir-335,adrenocortical carcinoma,202300
hsa-mir-483,adrenocortical carcinoma,202300
hsa-mir-483,adrenocortical carcinoma,202300
hsa-mir-497,adrenocortical carcinoma,202300
hsa-mir-184,adrenocortical carcinoma,202300
hsa-mir-503,adrenocortical carcinoma,202300
hsa-mir-511,adrenocortical carcinoma,202300
hsa-mir-214,adrenocortical carcinoma,202300
hsa-mir-150,adult t-cell leukemia,138140
hsa-mir-212,alcoholic liver disease ,613282
hsa-let-7i,Alzheimer's disease,104300
hsa-mir-125b,Alzheimer's disease,104300
hsa-mir-210,Alzheimer's disease,104300
hsa-mir-9,Alzheimer's disease,104300
hsa-mir-34a,Alzheimer's disease,104300
hsa-mir-26b,Alzheimer's disease,104300
hsa-mir-320,Alzheimer's disease,104300
hsa-mir-101,Alzheimer's disease,104300
hsa-mir-146a,Alzheimer's disease,104300
hsa-mir-298,Alzheimer's disease,104300
hsa-mir-328,Alzheimer's disease,104300
hsa-mir-106b,Alzheimer's disease,104300
hsa-mir-29a,Alzheimer's disease,104300
hsa-mir-93,Alzheimer's disease,104300
hsa-mir-128a,Alzheimer's disease,104300
hsa-mir-511,Alzheimer's disease,104300
hsa-mir-197,Alzheimer's disease,104300
hsa-mir-29b-1,Alzheimer's disease,104300
hsa-mir-15a,Alzheimer's disease,104300
hsa-mir-22,Alzheimer's disease,104300
hsa-mir-124a,Alzheimer's disease,104300
hsa-mir-107,Alzheimer's disease,104300
hsa-mir-181c,Alzheimer's disease,104300
hsa-mir-363,Alzheimer's disease,104300
hsa-mir-124,anaplastic astrocytoma,700001
hsa-mir-137,anaplastic astrocytoma,700001
hsa-mir-138,anaplastic thyroid carcinoma,188550
hsa-mir-146b,anaplastic thyroid carcinoma,188550
hsa-mir-148a,anaplastic thyroid carcinoma,188550
hsa-mir-221,anaplastic thyroid carcinoma,188550
hsa-mir-222,anaplastic thyroid carcinoma,188550
hsa-mir-4295,anaplastic thyroid carcinoma,188550
hsa-mir-584,anaplastic thyroid carcinoma,188550
hsa-mir-125b,anaplastic thyroid carcinoma ,188550
hsa-mir-17,anaplastic thyroid carcinoma ,188550
hsa-mir-30a,anaplastic thyroid carcinoma ,188550
hsa-mir-19a,anaplastic thyroid carcinoma ,188550
hsa-mir-26a,anaplastic thyroid carcinoma ,188550
hsa-mir-30d,anaplastic thyroid carcinoma ,188550
hsa-mir-17,anaplastic thyroid carcinoma ,188550
hsa-mir-138,anaplastic thyroid carcinoma ,188550
hsa-mir-18a,anaplastic thyroid carcinoma ,188550
hsa-mir-485,anxiety disorder,607834
hsa-mir-509,anxiety disorder,607834
hsa-mir-765,anxiety disorder,607834
hsa-mir-128,anxiety disorder,607834
hsa-mir-152,asthma,600807
hsa-mir-126,asthma,600807
hsa-mir-148a,asthma,600807
hsa-mir-148b,asthma,600807
hsa-mir-124,astrocytoma,137800
hsa-mir-137,astrocytoma,137800
hsa-mir-181b,astrocytoma,137800
hsa-mir-183,astrocytoma,137800
hsa-mir-200b,astrocytoma,137800
hsa-mir-25,astrocytoma,137800
hsa-mir-3189,astrocytoma,137800
hsa-mir-335,astrocytoma,137800
hsa-mir-429,astrocytoma,137800
hsa-mir-542,astrocytoma,137800
hsa-mir-146b,autism spectrum disorder ,209850
hsa-mir-652,autism spectrum disorder ,209850
hsa-mir-7,autism spectrum disorder ,209850
hsa-mir-132,autism spectrum disorder ,209850
hsa-mir-140,autism spectrum disorder ,209850
hsa-mir-193b,autism spectrum disorder ,209850
hsa-mir-320a,autism spectrum disorder ,209850
hsa-mir-106a,autism spectrum disorder ,209850
hsa-mir-431,autism spectrum disorder ,209850
hsa-mir-432,autism spectrum disorder ,209850
hsa-mir-27a,autism spectrum disorder ,209850
hsa-mir-212,autism spectrum disorder ,209850
hsa-mir-484,autism spectrum disorder ,209850
hsa-mir-93,autism spectrum disorder ,209850
hsa-mir-95,autism spectrum disorder ,209850
hsa-mir-128a,autism spectrum disorder ,209850
hsa-mir-129,autism spectrum disorder ,209850
hsa-mir-381,autism spectrum disorder ,209850
hsa-mir-15a,autism spectrum disorder ,209850
hsa-mir-23a,autism spectrum disorder ,209850
hsa-mir-539,autism spectrum disorder ,209850
hsa-mir-550,autism spectrum disorder ,209850
hsa-mir-598,autism spectrum disorder ,209850
hsa-mir-106b,autism spectrum disorder ,209850
hsa-mir-181d,autism spectrum disorder ,209850
hsa-mir-148b,autism spectrum disorder ,209850
hsa-mir-15b,autism spectrum disorder ,209850
hsa-mir-21,autism spectrum disorder ,209850
hsa-mir-203,basal cell carcinoma,605462
hsa-mir-153,B-cell chronic lymphocytic leukemia,151430
hsa-mir-154,B-cell chronic lymphocytic leukemia,151430
hsa-mir-134,B-cell chronic lymphocytic leukemia,151430
hsa-mir-10b,B-cell chronic lymphocytic leukemia,151430
hsa-mir-132,B-cell chronic lymphocytic leukemia,151430
hsa-mir-19a,B-cell chronic lymphocytic leukemia,151430
hsa-mir-24-1,B-cell chronic lymphocytic leukemia,151430
hsa-mir-196a-2,B-cell chronic lymphocytic leukemia,151430
hsa-mir-101,B-cell chronic lymphocytic leukemia,151430
hsa-mir-123,B-cell chronic lymphocytic leukemia,151430
hsa-mir-92-1,B-cell chronic lymphocytic leukemia,151430
hsa-mir-140,B-cell chronic lymphocytic leukemia,151430
hsa-mir-141,B-cell chronic lymphocytic leukemia,151430
hsa-mir-33,B-cell chronic lymphocytic leukemia,151430
hsa-mir-188,B-cell chronic lymphocytic leukemia,151430
hsa-mir-213,B-cell chronic lymphocytic leukemia,151430
hsa-mir-220,B-cell chronic lymphocytic leukemia,151430
hsa-mir-181b,B-cell chronic lymphocytic leukemia,151430
hsa-mir-190,B-cell chronic lymphocytic leukemia,151430
hsa-mir-192,B-cell chronic lymphocytic leukemia,151430
hsa-mir-217,B-cell chronic lymphocytic leukemia,151430
hsa-mir-183,B-cell chronic lymphocytic leukemia,151430
hsa-mir-15b,B-cell chronic lymphocytic leukemia,151430
hsa-mir-17,b-cell lymphoma,109565
hsa-mir-18a,b-cell lymphoma,109565
hsa-mir-19a,b-cell lymphoma,109565
hsa-mir-19b,b-cell lymphoma,109565
hsa-mir-20a,b-cell lymphoma,109565
hsa-mir-21,b-cell lymphoma,109565
hsa-mir-26b,b-cell lymphoma,109565
hsa-mir-34a,b-cell lymphoma,109565
hsa-mir-92a,b-cell lymphoma,109565
mir-17,b-cell lymphoma,109565
mir-18a,b-cell lymphoma,109565
mir-19a,b-cell lymphoma,109565
mir-19b,b-cell lymphoma,109565
mir-20a,b-cell lymphoma,109565
mir-92a,b-cell lymphoma,109565
hsa-mir-17,B-cell lymphoma,109565
hsa-mir-20a,B-cell lymphoma,109565
hsa-mir-146b,Becker muscular dystrophy ,300376
hsa-mir-221,Becker muscular dystrophy ,300376
hsa-mir-1,bladder cancer,109800
hsa-mir-100,bladder cancer,109800
hsa-mir-101,bladder cancer,109800
hsa-mir-103a,bladder cancer,109800
hsa-mir-10b,bladder cancer,109800
hsa-mir-1180,bladder cancer,109800
hsa-mir-122,bladder cancer,109800
hsa-mir-1236,bladder cancer,109800
hsa-mir-124,bladder cancer,109800
hsa-mir-124,bladder cancer,109800
hsa-mir-125b,bladder cancer,109800
hsa-mir-126,bladder cancer,109800
hsa-mir-1280,bladder cancer,109800
hsa-mir-133a,bladder cancer,109800
hsa-mir-133b,bladder cancer,109800
hsa-mir-135a,bladder cancer,109800
hsa-mir-137,bladder cancer,109800
hsa-mir-141,bladder cancer,109800
hsa-mir-143,bladder cancer,109800
hsa-mir-144,bladder cancer,109800
hsa-mir-145,bladder cancer,109800
hsa-mir-146a,bladder cancer,109800
hsa-mir-148a,bladder cancer,109800
hsa-mir-148a,bladder cancer,109800
hsa-mir-155,bladder cancer,109800
hsa-mir-16,bladder cancer,109800
hsa-mir-17,bladder cancer,109800
hsa-mir-182,bladder cancer,109800
hsa-mir-182,bladder cancer,109800
hsa-mir-183,bladder cancer,109800
hsa-mir-185,bladder cancer,109800
hsa-mir-186,bladder cancer,109800
hsa-mir-18a,bladder cancer,109800
hsa-mir-192,bladder cancer,109800
hsa-mir-194,bladder cancer,109800
hsa-mir-194,bladder cancer,109800
hsa-mir-195,bladder cancer,109800
hsa-mir-199a,bladder cancer,109800
hsa-mir-19a,bladder cancer,109800
hsa-mir-200a,bladder cancer,109800
hsa-mir-200b,bladder cancer,109800
hsa-mir-200c,bladder cancer,109800
hsa-mir-203,bladder cancer,109800
hsa-mir-205,bladder cancer,109800
hsa-mir-206,bladder cancer,109800
hsa-mir-20b,bladder cancer,109800
hsa-mir-210,bladder cancer,109800
hsa-mir-214,bladder cancer,109800
hsa-mir-218,bladder cancer,109800
hsa-mir-221,bladder cancer,109800
hsa-mir-222,bladder cancer,109800
hsa-mir-223,bladder cancer,109800
hsa-mir-223,bladder cancer,109800
hsa-mir-23a,bladder cancer,109800
hsa-mir-23b,bladder cancer,109800
hsa-mir-24,bladder cancer,109800
hsa-mir-26a,bladder cancer,109800
hsa-mir-26a,bladder cancer,109800
hsa-mir-26b,bladder cancer,109800
hsa-mir-26b,bladder cancer,109800
hsa-mir-29c,bladder cancer,109800
hsa-mir-320c,bladder cancer,109800
hsa-mir-335,bladder cancer,109800
hsa-mir-34a,bladder cancer,109800
hsa-mir-3658,bladder cancer,109800
hsa-mir-370,bladder cancer,109800
hsa-mir-409,bladder cancer,109800
hsa-mir-424,bladder cancer,109800
hsa-mir-429,bladder cancer,109800
hsa-mir-4295,bladder cancer,109800
hsa-mir-451,bladder cancer,109800
hsa-mir-490,bladder cancer,109800
hsa-mir-493,bladder cancer,109800
hsa-mir-542,bladder cancer,109800
hsa-mir-576,bladder cancer,109800
hsa-mir-639,bladder cancer,109800
hsa-mir-9,bladder cancer,109800
hsa-mir-92,bladder cancer,109800
hsa-mir-96,bladder cancer,109800
hsa-mir-99a,bladder cancer,109800
hsa-mir-221,bladder cancer,109800
hsa-mir-21,bladder cancer,109800
hsa-mir-100,bladder cancer,109800
hsa-mir-99a,bladder cancer,109800
hsa-mir-185,bladder cancer,109800
hsa-mir-133a,bladder cancer,109800
hsa-mir-195,bladder cancer,109800
hsa-mir-26a,bladder cancer,109800
hsa-mir-29c,bladder cancer,109800
hsa-mir-30,bladder cancer,109800
hsa-mir-30c,bladder cancer,109800
hsa-mir-30e,bladder cancer,109800
hsa-mir-133b,bladder cancer,109800
hsa-mir-145,bladder cancer,109800
hsa-mir-203,bladder cancer,109800
hsa-mir-26b,bladder cancer,109800
hsa-mir-125b,bladder cancer,109800
hsa-mir-129,bladder cancer,109800
hsa-mir-17,bladder cancer,109800
hsa-mir-199a*,bladder cancer,109800
hsa-mir-103-1,bladder cancer,109800
hsa-mir-31,bladder cancer,109800
hsa-mir-101,bladder cancer,109800
hsa-mir-222,bladder cancer,109800
hsa-mir-452,bladder cancer,109800
hsa-mir-452*,bladder cancer,109800
hsa-mir-7,bladder cancer,109800
hsa-mir-10a,bladder cancer,109800
hsa-mir-127,bladder cancer,109800
hsa-mir-143,bladder cancer,109800
hsa-mir-205,bladder cancer,109800
hsa-mir-223,bladder cancer,109800
hsa-mir-23a,bladder cancer,109800
hsa-mir-23b,bladder cancer,109800
hsa-let-7a,breast cancer,114480
hsa-let-7a-1,breast cancer,114480
hsa-let-7a-2,breast cancer,114480
hsa-let-7a-3,breast cancer,114480
hsa-let-7b,breast cancer,114480
hsa-let-7c,breast cancer,114480
hsa-let-7d,breast cancer,114480
hsa-let-7e,breast cancer,114480
hsa-let-7f-1,breast cancer,114480
hsa-let-7f-2,breast cancer,114480
hsa-let-7g,breast cancer,114480
hsa-let-7i,breast cancer,114480
hsa-mir-1,breast cancer,114480
hsa-mir-100,breast cancer,114480
hsa-mir-101,breast cancer,114480
hsa-mir-106b,breast cancer,114480
hsa-mir-107,breast cancer,114480
hsa-mir-10a,breast cancer,114480
hsa-mir-10b,breast cancer,114480
hsa-mir-122,breast cancer,114480
hsa-mir-1228,breast cancer,114480
hsa-mir-1229,breast cancer,114480
hsa-mir-124,breast cancer,114480
hsa-mir-124,breast cancer,114480
hsa-mir-1258,breast cancer,114480
hsa-mir-125a,breast cancer,114480
hsa-mir-125a,breast cancer,114480
hsa-mir-125b,breast cancer,114480
hsa-mir-126,breast cancer,114480
hsa-mir-127,breast cancer,114480
hsa-mir-129,breast cancer,114480
hsa-mir-129,breast cancer,114480
hsa-mir-130a,breast cancer,114480
hsa-mir-132,breast cancer,114480
hsa-mir-133a,breast cancer,114480
hsa-mir-135a,breast cancer,114480
hsa-mir-139,breast cancer,114480
hsa-mir-139,breast cancer,114480
hsa-mir-140,breast cancer,114480
hsa-mir-141,breast cancer,114480
hsa-mir-142,breast cancer,114480
hsa-mir-142,breast cancer,114480
hsa-mir-143,breast cancer,114480
hsa-mir-144,breast cancer,114480
hsa-mir-145,breast cancer,114480
hsa-mir-146a,breast cancer,114480
hsa-mir-146b,breast cancer,114480
hsa-mir-147,breast cancer,114480
hsa-mir-148a,breast cancer,114480
hsa-mir-148b,breast cancer,114480
hsa-mir-149,breast cancer,114480
hsa-mir-150,breast cancer,114480
hsa-mir-152,breast cancer,114480
hsa-mir-153,breast cancer,114480
hsa-mir-154,breast cancer,114480
hsa-mir-155,breast cancer,114480
hsa-mir-15a,breast cancer,114480
hsa-mir-16,breast cancer,114480
hsa-mir-17,breast cancer,114480
hsa-mir-17,breast cancer,114480
hsa-mir-181a,breast cancer,114480
hsa-mir-181b,breast cancer,114480
hsa-mir-181b,breast cancer,114480
hsa-mir-182,breast cancer,114480
hsa-mir-1826,breast cancer,114480
hsa-mir-183,breast cancer,114480
hsa-mir-183,breast cancer,114480
hsa-mir-185,breast cancer,114480
hsa-mir-18a,breast cancer,114480
hsa-mir-18b,breast cancer,114480
hsa-mir-191,breast cancer,114480
hsa-mir-193a,breast cancer,114480
hsa-mir-193b,breast cancer,114480
hsa-mir-195,breast cancer,114480
hsa-mir-196a,breast cancer,114480
hsa-mir-197,breast cancer,114480
hsa-mir-199b,breast cancer,114480
hsa-mir-19a,breast cancer,114480
hsa-mir-19a,breast cancer,114480
hsa-mir-19b,breast cancer,114480
hsa-mir-200a,breast cancer,114480
hsa-mir-200b,breast cancer,114480
hsa-mir-200c,breast cancer,114480
hsa-mir-203,breast cancer,114480
hsa-mir-204,breast cancer,114480
hsa-mir-204,breast cancer,114480
hsa-mir-205,breast cancer,114480
hsa-mir-206,breast cancer,114480
hsa-mir-20a,breast cancer,114480
hsa-mir-20b,breast cancer,114480
hsa-mir-21,breast cancer,114480
hsa-mir-210,breast cancer,114480
hsa-mir-211,breast cancer,114480
hsa-mir-212,breast cancer,114480
hsa-mir-214,breast cancer,114480
hsa-mir-216b,breast cancer,114480
hsa-mir-217,breast cancer,114480
hsa-mir-218,breast cancer,114480
hsa-mir-22,breast cancer,114480
hsa-mir-221,breast cancer,114480
hsa-mir-222,breast cancer,114480
hsa-mir-223,breast cancer,114480
hsa-mir-224,breast cancer,114480
hsa-mir-23a,breast cancer,114480
hsa-mir-24,breast cancer,114480
hsa-mir-24-2,breast cancer,114480
hsa-mir-24,breast cancer,114480
hsa-mir-26a,breast cancer,114480
hsa-mir-26b,breast cancer,114480
hsa-mir-27a,breast cancer,114480
hsa-mir-27b,breast cancer,114480
hsa-mir-29a,breast cancer,114480
hsa-mir-29b-1,breast cancer,114480
hsa-mir-29b-2,breast cancer,114480
hsa-mir-29c,breast cancer,114480
hsa-mir-300,breast cancer,114480
hsa-mir-30a,breast cancer,114480
hsa-mir-30e,breast cancer,114480
hsa-mir-31,breast cancer,114480
hsa-mir-320a,breast cancer,114480
hsa-mir-329,breast cancer,114480
hsa-mir-335,breast cancer,114480
hsa-mir-339,breast cancer,114480
hsa-mir-33a,breast cancer,114480
hsa-mir-33b,breast cancer,114480
hsa-mir-340,breast cancer,114480
hsa-mir-346,breast cancer,114480
hsa-mir-34a,breast cancer,114480
hsa-mir-34b,breast cancer,114480
hsa-mir-34c,breast cancer,114480
hsa-mir-362,breast cancer,114480
hsa-mir-3646,breast cancer,114480
hsa-mir-365,breast cancer,114480
hsa-mir-370,breast cancer,114480
hsa-mir-373,breast cancer,114480
hsa-mir-374a,breast cancer,114480
hsa-mir-378,breast cancer,114480
hsa-mir-379,breast cancer,114480
hsa-mir-381,breast cancer,114480
hsa-mir-383,breast cancer,114480
hsa-mir-409,breast cancer,114480
hsa-mir-410,breast cancer,114480
hsa-mir-411,breast cancer,114480
hsa-mir-421,breast cancer,114480
hsa-mir-423,breast cancer,114480
hsa-mir-425,breast cancer,114480
hsa-mir-429,breast cancer,114480
hsa-mir-449a,breast cancer,114480
hsa-mir-450b,breast cancer,114480
hsa-mir-451a,breast cancer,114480
hsa-mir-485,breast cancer,114480
hsa-mir-485,breast cancer,114480
hsa-mir-489,breast cancer,114480
hsa-mir-489,breast cancer,114480
hsa-mir-490,breast cancer,114480
hsa-mir-494,breast cancer,114480
hsa-mir-495,breast cancer,114480
hsa-mir-497,breast cancer,114480
hsa-mir-498,breast cancer,114480
hsa-mir-5003,breast cancer,114480
hsa-mir-502,breast cancer,114480
hsa-mir-503,breast cancer,114480
hsa-mir-506,breast cancer,114480
hsa-mir-510,breast cancer,114480
hsa-mir-517a,breast cancer,114480
hsa-mir-519d,breast cancer,114480
hsa-mir-520c,breast cancer,114480
hsa-mir-520e,breast cancer,114480
hsa-mir-520g,breast cancer,114480
hsa-mir-526b,breast cancer,114480
hsa-mir-544,breast cancer,114480
hsa-mir-544a,breast cancer,114480
hsa-mir-574,breast cancer,114480
hsa-mir-601,breast cancer,114480
hsa-mir-613,breast cancer,114480
hsa-mir-625,breast cancer,114480
hsa-mir-630,breast cancer,114480
hsa-mir-638,breast cancer,114480
hsa-mir-652,breast cancer,114480
hsa-mir-671,breast cancer,114480
hsa-mir-675,breast cancer,114480
hsa-mir-7,breast cancer,114480
hsa-mir-720,breast cancer,114480
hsa-mir-762,breast cancer,114480
hsa-mir-802,breast cancer,114480
hsa-mir-873,breast cancer,114480
hsa-mir-874,breast cancer,114480
hsa-mir-892b,breast cancer,114480
hsa-mir-92a,breast cancer,114480
hsa-mir-944,breast cancer,114480
hsa-mir-96,breast cancer,114480
hsa-mir-98,breast cancer,114480
hsa-mir-99a,breast cancer,114480
mmu-mir-290,breast cancer,114480
mmu-mir-290,breast cancer,114480
hsa-let-7i,breast cancer,114480
hsa-mir-204,breast cancer,114480
hsa-mir-125a,breast cancer,114480
hsa-mir-146b,breast cancer,114480
hsa-let-7d,breast cancer,114480
hsa-mir-125b,breast cancer,114480
hsa-mir-152,breast cancer,114480
hsa-mir-136,breast cancer,114480
hsa-mir-210,breast cancer,114480
hsa-mir-373,breast cancer,114480
hsa-mir-27a,breast cancer,114480
hsa-mir-661,breast cancer,114480
hsa-mir-181a,breast cancer,114480
hsa-mir-26a,breast cancer,114480
hsa-mir-200b,breast cancer,114480
hsa-mir-200c,breast cancer,114480
hsa-mir-31a,breast cancer,114480
hsa-mir-170,breast cancer,114480
hsa-mir-663,breast cancer,114480
hsa-mir-10b,breast cancer,114480
hsa-mir-122a,breast cancer,114480
hsa-mir-200a,breast cancer,114480
hsa-mir-206,breast cancer,114480
hsa-mir-155,breast cancer,114480
hsa-mir-196a,breast cancer,114480
hsa-mir-31,breast cancer,114480
hsa-mir-9-3,breast cancer,114480
hsa-mir-18a,breast cancer,114480
hsa-mir-193b,breast cancer,114480
hsa-mir-195,breast cancer,114480
hsa-mir-196a-2,breast cancer,114480
hsa-mir-96,breast cancer,114480
hsa-mir-182,breast cancer,114480
hsa-mir-202,breast cancer,114480
hsa-mir-203,breast cancer,114480
hsa-mir-126,breast cancer,114480
hsa-mir-17,breast cancer,114480
hsa-mir-101-1,breast cancer,114480
hsa-mir-21,breast cancer,114480
hsa-mir-22,breast cancer,114480
hsa-mir-148a,breast cancer,114480
hsa-mir-328,breast cancer,114480
hsa-mir-7,breast cancer,114480
hsa-mir-429,breast cancer,114480
hsa-mir-451,breast cancer,114480
